gbifID,eventDate,verbatimLocality,decimalLatitude,decimalLongitude,plant_id
4535584819,2023-06-19,"Belle Haven Park, Alexandria, VA, US",38.77877,-77.0502916667,1
4528270349,2024-02-20,"Potomac Yard, Alexandria, VA, USA",38.8217866,-77.04059176,2
4528199380,2020-04-26,"Four Mile Run, Alexandria, VA, US",38.84488667,-77.0633555,1
4528168952,2023-07-08,"Quander Rd, Alexandria, VA, US",38.7749666667,-77.0748361667,1
4528156878,2023-05-30,"Franconia Rd, Alexandria, VA, US",38.7799399021,-77.1557875816,1
4528022404,2024-02-20,"Old Town North, Alexandria, VA, USA",38.81693309,-77.03883684,2
4528007181,2024-02-23,"Huntley Meadows Park, Alexandria, VA, US",38.7656661086,-77.1195058299,2
4527950913,2021-05-15,"Belle Haven Park, Alexandria, VA, US",38.7787133333,-77.049675,1
4527949526,2021-09-05,"Mount Vernon Trail, Alexandria, VA, US",38.7741188148,-77.0517732848,1
4527936667,2022-06-19,"Alexandria, VA, US",38.7708283333,-77.050575,1
4512230879,2024-01-10,"Riverside Park, Alexandria, VA, US",38.7121866667,-77.0734111667,2
4431135545,2023-10-15,"Groveton Gardens Rd, Alexandria, VA, US",38.7571755331,-77.0986691025,2
4431010651,2023-10-09,Alexandria,38.7846069336,-77.0988616943,2
4430841609,2023-08-28,"Potomac West, Alexandria, VA, USA",38.8417583333,-77.0592944444,1
4430703030,2023-10-20,"Huntley Meadows Park, Alexandria, VA, US",38.7506469251,-77.1066949985,1
4430624213,2023-10-12,"Mill Rd, Alexandria, VA, US",38.7992216667,-77.0645305,1
4430492745,2023-10-10,"Taylor Run, Alexandria, VA, USA",38.8202819504,-77.082233149,1
4424192529,2023-09-12,"Fourth St, Alexandria, VA, US",38.8173375942,-77.1549994381,1
4421183903,2023-09-30,"Mount Vernon Trail, Alexandria, VA, US",38.7941252099,-77.0393598832,1
4417174386,2023-09-25,"Alexandria, VA 22305, USA",38.83933,-77.058325,2
4416689314,2019-06-07,"6203 Arkendale Rd, Alexandria, VA, US",38.78352,-77.0708778333,1
4414067046,2023-09-08,"Alexandria, VA 22305, USA",38.8430416667,-77.0629516667,3
4414063958,2023-09-15,Alexandria,38.8287658691,-77.1332626343,3
4407537263,2023-09-03,Alexandria,38.8158569336,-77.0383605957,1
4407338172,2023-08-26,"S Royal St, Alexandria, VA, US",38.7941666667,-77.0459833333,2
4407323732,2023-08-26,"S Royal St, Alexandria, VA, US",38.7941083333,-77.0459833333,2
4405476609,2023-08-23,"Domain Pl, Alexandria, VA, US",38.8399356499,-77.1156797665,1
4405409534,2023-08-24,"Belle Haven Park, Alexandria, VA, US",38.777675,-77.0494916667,1
4405344146,2023-08-27,"Huntley Meadows Park, Alexandria, VA, US",38.7542243636,-77.1101351469,1
4400328633,2023-05-30,"Edgehill Dr, Alexandria, VA, US",38.783675,-77.0632861667,1
4400176577,2023-06-02,"E Lee Ave, Alexandria, VA, US",38.766625,-77.0830778333,1
4400076414,2022-07-10,"W Reed Ave & Commonwealth Ave, Alexandria, VA 22305, USA",38.8370064,-77.0584251,1
4399968329,2020-06-10,"Tenth St, Alexandria, VA, US",38.77315833,-77.0546195,1
4399963121,2023-08-16,"Gilbert S Mccutcheon Park, Alexandria, VA, US",38.7542103847,-77.0526415495,1
4177430781,2023-08-13,Alexandria,38.7812194824,-77.102394104,1
4177372875,2023-08-11,"Mount Vernon Trail, Alexandria, VA, US",38.7747465191,-77.05161707,1
4177171561,2023-07-06,"Wheeler Ave, Alexandria, VA, US",38.80658,-77.109275,3
4177132672,2023-06-16,Alexandria,38.8067626953,-77.1167373657,1
4177060888,2023-07-06,"Backlick Run, Alexandria, VA, US",38.8064561711,-77.1090957506,3
4172100172,2023-08-04,"Alexandria, VA 22305, USA",38.8417433333,-77.059265,1
4171739124,2023-07-06,"Eisenhower Ave, Alexandria, VA, US",38.8045,-77.1055055,3
4171727065,2023-07-10,"Alexandria, VA 22305, USA",38.8403883333,-77.0549866667,1
4171364034,2023-07-06,"Backlick Run, Alexandria, VA, US",38.8055,-77.1072471667,3
4171349799,2023-07-08,"Fleming St, Alexandria, VA, US",38.7747216667,-77.0759111667,1
4171229606,2023-07-12,"Cornell Dr, Alexandria, VA, US",38.774345,-77.0678638333,1
4171214647,2023-07-08,"Smithway Dr, Alexandria, VA, US",38.7688616667,-77.0742721667,1
4171206545,2023-07-06,"Eisenhower Ave, Alexandria, VA, US",38.8060426821,-77.108313893,3
4162303836,2023-07-13,"Clermont Park, Alexandria, VA, US",38.79332,-77.1021638333,2
4161986064,2023-07-10,"Olde Towne Rd, Alexandria, VA, US",38.779245,-77.0573888333,1
4153863158,2023-07-04,"White Oaks Park, Alexandria, VA, US",38.766475,-77.0696805,1
4153828922,2023-07-06,"Eisenhower Ave, Alexandria, VA, US",38.8043216667,-77.1045138333,3
4153603599,2023-07-06,"Backlick Run, Alexandria, VA, US",38.8062254021,-77.109631306,3
4153355954,2023-07-04,"Mary Baldwin Dr, Alexandria, VA, US",38.7683366667,-77.0735638333,1
4133599524,2023-04-29,"E Randolph Ave, Alexandria, VA, US",38.8286228849,-77.0536942391,1
4130043455,2023-06-01,"Windsor Rd, Alexandria, VA, US",38.78048,-77.0664,1
4130001428,2023-06-01,"Arkendale Rd, Alexandria, VA, US",38.7832416667,-77.0711445,1
4129892220,2023-06-01,"Windsor Rd, Alexandria, VA, US",38.7805216667,-77.0665278333,1
4121359014,2023-05-17,"Gilbert S Mccutcheon Park, Alexandria, VA, US",38.7536577246,-77.0560871983,1
4116413860,2023-05-10,"George Washington's Mount Vernon, Alexandria, VA, US",38.7074107698,-77.0872315704,2
4112103628,2023-04-30,"Fort Hunt Park, Alexandria, VA, US",38.7135107502,-77.0573494344,1
4112082594,2023-04-29,Alexandria,38.8066711426,-77.1177215576,1
4111731583,2023-04-29,"Del Ray, Alexandria, VA, USA",38.8285033333,-77.05335,1
4111719605,2023-04-30,"River Farm Dr, Alexandria, VA, US",38.7111201855,-77.0581572336,1
4111685551,2023-04-29,"Linton Ln, Alexandria, VA, US",38.7178483341,-77.0674034702,1
